dataset,metric,grpo_mean,baseline_mean,diff_grpo_minus_baseline,n_grpo,n_baseline,n_grpo_nonnull,n_baseline_nonnull
blood_transfusion,reward,0.222486,0.413359,-0.190873,36,4,35,4
blood_transfusion,implementation_score,0.137146,0.269531,-0.132385,36,4,35,4
blood_transfusion,data_score,0.257107,0.4875,-0.230393,36,4,35,4
blood_transfusion,validation_credit,0.481667,0.6625,-0.180833,36,4,35,4
blood_transfusion,abstention_bonus,0.008571,0.0,0.008571,36,4,35,4
blood_transfusion,action_cost_penalty,0.082,0.0675,0.0145,36,4,35,4
blood_transfusion,n_actions,8.2,6.75,1.45,36,4,35,4
blood_transfusion,retrieval_bm25_score,31.425336,24.009605,7.415731,36,4,35,4
blood_transfusion,retrieval_rrf_score,0.015366,0.015492,-0.000126,36,4,35,4
blood_transfusion,retrieval_best_intent_rank,5.21985,4.7,0.51985,36,4,35,4
blood_transfusion,category_entropy,2.55208,3.385757,-0.833677,36,4,35,4
blood_transfusion,distinct_category_count,7.290476,11.5,-4.209524,36,4,35,4
blood_transfusion,evidence_depth_full_text_frac,1.0,1.0,0.0,36,4,35,4
blood_transfusion,n_observations,748.0,748.0,0.0,36,4,22,3
blood_transfusion,cv_metric,0.529412,0.0,0.529412,36,4,17,3
blood_transfusion,bootstrap_sign_stability,0.505583,0.666667,-0.161084,36,4,17,3
blood_transfusion,paper_diagnostic_coverage,1.0,1.0,0.0,36,4,1,3
blood_transfusion,condition_number,,1.0,,36,4,0,1
blood_transfusion,rubric_score,0.150003,0.359375,-0.209372,36,4,32,3
blood_transfusion,implementation_coverage_score,0.703385,1.0,-0.296615,36,4,32,3
blood_transfusion,assumption_check_recall,0.307292,0.333333,-0.026041,36,4,32,3
blood_transfusion,output_contract_recall,0.03125,0.0,0.03125,36,4,32,3
blood_transfusion,validation_coverage_score,0.769792,0.883333,-0.113541,36,4,32,3
blood_transfusion,emittable,0.0,0.0,0.0,36,4,36,4
blood_transfusion,emitted,0.0,0.0,0.0,36,4,36,4
blood_transfusion,gate_score_hypothesis,1.0,1.0,0.0,36,4,32,3
blood_transfusion,gate_score_estimand,1.0,1.0,0.0,36,4,32,3
blood_transfusion,gate_score_data_applicability,0.6875,1.0,-0.3125,36,4,32,3
blood_transfusion,gate_score_multiplicity,1.0,1.0,0.0,36,4,32,3
blood_transfusion,gate_score_execution,0.9375,1.0,-0.0625,36,4,32,3
blood_transfusion,gate_score_paper_fidelity,0.375,0.833333,-0.458333,36,4,32,3
blood_transfusion,gate_score_assumption_admissibility,0.0,0.0,0.0,36,4,32,3
blood_transfusion,gate_score_robustness,0.697917,1.0,-0.302083,36,4,32,3
blood_transfusion,gate_score_data_method_structural_fit,1.0,1.0,0.0,36,4,32,3
blood_transfusion,gate_score_internal_coherence,1.0,1.0,0.0,36,4,32,3
