metric,blood_transfusion,bodyfat_vanderbilt,bone_mineral_density,breast_cancer_wisconsin,buchwald_hartwig_coupling,catechol_flow_chemistry,claisen_rearrangement,fertility_diagnosis,haberman_survival,heart_disease_cleveland,heart_public_regression,indian_liver_patient,parkinsons_telemonitoring,parkinsons_voice,pima_indians_diabetes,wine_quality_red,wine_quality_white
reward,-0.190873,0.096318,0.137373,-0.003376,0.082217,0.123399,-0.000625,-0.071741,-0.149229,-0.076452,-0.058806,-0.12472,-0.005095,0.126747,-0.123797,-0.139547,-0.063312
implementation_score,-0.132385,0.064189,-0.010353,0.044479,0.052911,0.015863,-0.084707,-0.041528,-0.185376,-0.037359,-0.004921,-0.023663,-0.003235,0.012641,-0.18032,-0.042753,-0.02156
data_score,-0.230393,0.056612,0.137284,-0.106395,0.121958,0.123362,0.057642,-0.031792,-0.184769,-0.116314,-0.127438,-0.228895,0.032949,0.16306,-0.124558,-0.31328,-0.042893
validation_credit,-0.180833,0.201852,0.337381,0.162038,0.124926,0.215973,-0.060416,-0.159491,-0.024769,-0.010185,-0.018371,-0.125463,-0.050232,0.203936,-0.154948,-0.02223,-0.090188
abstention_bonus,0.008571,0.0125,0.005714,0.011111,-0.0025,0.004167,-0.004167,-0.009722,0.011111,0.0,0.0125,0.006944,-0.006944,0.006944,0.004688,0.015625,-0.007661
action_cost_penalty,0.0145,0.001389,0.011,0.01,0.005071,-0.021944,0.004167,0.011111,0.009444,0.013611,0.010278,0.004722,0.0125,-0.000278,0.006563,0.006563,0.013952
n_actions,1.45,0.138889,1.1,1.0,0.507143,-2.194444,0.416667,1.111111,0.944444,1.361111,1.027778,0.472222,1.25,-0.027778,0.65625,0.65625,1.395161
retrieval_bm25_score,7.415731,15.068643,5.994502,8.787978,8.559634,13.038961,13.888852,9.563335,7.729891,13.875042,14.789662,-2.306305,11.025314,12.40881,6.264176,13.053384,7.401506
retrieval_rrf_score,-0.000126,-5.2e-05,-0.000281,-0.000145,3.5e-05,0.000252,-0.000324,-0.000153,-0.000106,-0.000378,-0.000358,-0.000146,-0.000454,2.9e-05,-2.2e-05,-8.1e-05,-0.000145
retrieval_best_intent_rank,0.51985,0.212681,1.215278,0.633862,-0.155159,-1.09886,1.40696,0.612755,0.449837,1.665919,1.567929,0.60205,1.970496,-0.12963,0.060972,0.323958,0.651969
category_entropy,-0.833677,-0.610963,0.279903,-0.548977,0.717123,0.393127,0.42307,-0.250579,-0.491636,-0.251889,0.070224,0.255439,-0.396302,-0.236434,-0.659514,-0.609292,-0.245847
distinct_category_count,-4.209524,-2.930556,1.106481,-2.208333,2.791667,1.013889,1.680556,-0.361111,-2.287037,-1.527778,-0.069444,0.634259,-2.041667,-1.0,-3.005208,-3.75,-1.375
evidence_depth_full_text_frac,0.0,-0.005556,0.0,-0.005556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001852,0.0,0.0,0.0,0.0
n_observations,0.0,-9.238095,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-614.0,0.0,0.0,0.0,0.0
cv_metric,0.529412,0.323063,,-0.649189,0.142874,0.498432,0.071477,0.260685,0.390391,-0.279307,0.062641,0.02602,0.025064,0.518187,0.120794,-0.597172,0.077985
bootstrap_sign_stability,-0.161084,0.30482,,-0.599193,0.272484,-0.220378,-0.140677,0.065765,-0.769747,0.172352,-0.444783,-0.214355,-0.084858,0.441808,-0.407812,0.018719,0.233278
paper_diagnostic_coverage,0.0,0.0,,,,0.0,,0.333333,,0.0,-0.25,-0.5,0.0,-0.333333,0.0,-0.5,0.0
condition_number,,,,,,,,,,,,,,,,,
rubric_score,-0.209372,0.064189,-0.105623,0.027865,0.044582,-0.014589,-0.073547,-0.066748,-0.269039,-0.086166,-0.034805,-0.016023,0.007408,0.025154,-0.171333,-0.038538,-0.107401
implementation_coverage_score,-0.296615,0.018166,-0.329613,0.263889,-0.114978,0.169635,-0.321376,-0.205146,-0.313978,-0.134985,-0.37971,-0.376094,-0.107071,0.264815,-0.475431,0.014211,-0.353807
assumption_check_recall,-0.026041,-0.046296,-0.609375,0.268519,0.196181,-0.209524,-0.439394,-0.399642,-0.032258,-0.343137,-0.137255,-0.289141,0.002525,0.434343,-0.202586,0.057796,-0.134616
output_contract_recall,0.03125,0.027778,0.0,0.027778,0.03125,0.0,0.0,0.0,0.0,0.0,0.058824,0.0,0.0,0.090909,-0.25,0.0,0.038462
validation_coverage_score,-0.113541,0.057917,-0.085677,0.05787,0.033209,-0.006587,-0.092235,-0.135753,-0.071953,-0.090441,-0.063161,-0.069532,-0.065972,0.104166,-0.098132,-0.025176,-0.127666
emittable,0.0,0.0,0.0,0.0,0.027778,0.0,0.0,0.0,0.0,0.0,0.027778,0.0,0.0,0.0,0.0,0.0,0.03125
emitted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gate_score_hypothesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gate_score_estimand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gate_score_data_applicability,-0.3125,0.35,-0.53125,0.083334,0.229167,-0.095238,-0.363636,-0.645161,0.010752,-0.352941,-0.166667,-0.0625,0.075758,0.4375,-0.301724,-0.094828,-0.52
gate_score_multiplicity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gate_score_execution,-0.0625,0.078571,-0.3125,0.277778,0.083333,-0.142857,-0.242424,-0.387097,-0.225806,-0.117647,-0.294118,-0.34375,-0.30303,0.09375,-0.241379,0.077586,-0.24
gate_score_paper_fidelity,-0.458333,0.198214,0.320312,0.152777,0.057783,0.121429,-0.119318,-0.282258,-0.271506,-0.178921,-0.14795,-0.007812,-0.058712,0.1875,-0.090517,0.00111,-0.49
gate_score_assumption_admissibility,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.04902,0.0,0.0,0.052083,-0.25,0.0,0.04
gate_score_robustness,-0.302083,-0.047619,-0.333333,0.064815,-0.069445,0.050793,-0.196969,-0.043011,-0.232975,-0.254902,-0.071896,-0.28125,-0.373737,0.270834,-0.097701,-0.235632,-0.066667
gate_score_data_method_structural_fit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gate_score_internal_coherence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_assumptions_declared,0.5,-1.0,-0.53125,-0.277777,0.104167,0.257143,-0.545455,-0.322581,0.548387,-0.127451,-0.009804,0.204545,-0.416667,0.075758,0.62069,0.193548,-0.653846
assumption_all_held_frac,0.1875,0.166667,-0.40625,0.25,0.21875,-0.161904,-0.378788,-0.268817,-0.268817,-0.215686,0.117647,-0.219697,-0.037879,0.30303,-0.181034,0.129032,0.115385
assumption_zero_held_frac,0.229167,0.111111,0.6875,-0.277778,-0.041667,0.209524,0.416667,0.408602,-0.150538,0.460785,0.372549,0.318182,-0.05303,-0.545455,0.258621,0.024194,0.192308
n_output_contract_items_declared,2.895833,-1.416667,1.3125,-0.916666,0.614583,1.07619,-0.727273,1.430107,2.311828,-1.039215,-1.333333,0.007576,0.227273,0.712121,1.215517,0.169355,0.230769
